商品名称,评论内容,评论地点,评论用户名,评论用户ID,发表日期,点赞数
羽砂黑 16GB+512GB 典藏版,质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了,河南,j***g,21687150014,2024-11-02 13:50:11,0
羽砂黑 12GB+512GB,"以旧换新：物流快！！！
外形外观：时尚达人时尚大气！！！！
屏幕音效：很不错！！！
拍照效果：很舒服！！！！！
运行速度：流畅轻快！！！
待机时间：一般般！！",四川,流***1,21686914094,2024-11-02 13:04:09,0
羽砂白 16GB+1TB 典藏版,五星好评，非常好！想不到那么快就到了！尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！购物非常愉快，商品实惠又耐用，质量有保证。物流迅速，商家服务贴心，售后无忧。,天津,I***轩,21686118616,2024-11-02 10:42:03,0
羽砂黑 12G+256G,华为Mate X5还搭载了麒麟9000S芯片，为用户提供强大的处理能力和流畅的操作体验。在功能方面，华为Mate X5支持灵犀通信技术方案、双向北斗卫星消息等，非常好用,贵州,j***e,21684779194,2024-11-02 00:05:21,0
羽砂黑 16G+512G典藏版,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,j***e,21684780110,2024-11-02 00:04:36,0
青山黛 12G+256G,华为Mate X5还搭载了麒麟9000S芯片，为用户提供强大的处理能力和流畅的操作体验。在功能方面，华为Mate X5支持灵犀通信技术方案、双向北斗卫星消息等，非常好用,贵州,j***e,21684780108,2024-11-02 00:04:36,0
羽砂白 12G+512G,非常不错，老头想换折叠屏，买来送他的，还是挺好的，支持华为哦,贵州,j***e,21684780106,2024-11-02 00:04:36,0
羽砂黑 16G+512G,老婆喜欢，就是不想让她继续用苹果了，双折屏看着也商务点,贵州,j***e,21684780107,2024-11-02 00:04:36,0
羽砂金 12G+512G,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,快***略,21684761185,2024-11-01 23:57:59,0
羽砂黑 16G+512G典藏版,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,快***略,21684760220,2024-11-01 23:57:50,0
羽砂黑 12G+512G,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,快***略,21684757382,2024-11-01 23:57:43,0
幻影紫 12G+256G,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,快***略,21684758966,2024-11-01 23:57:29,0
青山黛 16G+512G,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,快***略,21684755405,2024-11-01 23:57:21,0
羽砂白 16G+512G,高端大气上档次，，虽然不是三折叠，两折叠也不错的。,贵州,快***略,21684758231,2024-11-01 23:56:26,0
羽砂黑 12G+256G,华为Mate X5还搭载了麒麟9000S芯片，为用户提供强大的处理能力和流畅的操作体验。在功能方面，华为Mate X5支持灵犀通信技术方案、双向北斗卫星消息等，非常好用,贵州,快***略,21684749915,2024-11-01 23:55:46,0
羽砂白 12G+512G,老婆喜欢，就是不想让她继续用苹果了，双折屏看着也商务点,贵州,快***略,21684751087,2024-11-01 23:55:07,0
幻影紫 12G+512G,非常不错，老头想换折叠屏，买来送他的，还是挺好的，支持华为哦,贵州,快***略,21684746938,2024-11-01 23:54:30,0
羽砂黑 16GB+512GB,很不错,广东,恩***0,21684573342,2024-11-01 23:02:36,0
羽砂白 12GB+512GB 免息版本12期,东西很好，是正品，原封未拆箱，体验感很好,贵州,j***8,21684459488,2024-11-01 22:38:25,0
羽砂金 12GB+512GB,华为旗舰大制作，很好用的手机，拍照效果很好,北京,w***k,21684230305,2024-11-01 21:53:41,0
羽砂黑 12GB+512GB,同事买的，习惯性好评。,江苏,洪***8,21684216647,2024-11-01 21:50:35,0
羽砂白 12G+256G,机器很好用真的很方便满意,河北,j***夏,21683481621,2024-11-01 19:41:22,0
幻影紫 12G+256G,真的不错太棒了推荐大家购买,河北,j***夏,21683477734,2024-11-01 19:41:08,0
羽砂黑 12G+256G,一直信赖京东购物品质有保障满意,河北,j***夏,21683477733,2024-11-01 19:41:08,0
青山黛 12G+512G,收到了满意的一次购物物流给力机器也非常不错,河北,j***夏,21683477732,2024-11-01 19:41:08,0
羽砂金 12G+256G,服务一流品质一流希望店家生意兴隆,河北,j***夏,21683477731,2024-11-01 19:41:08,0
羽砂黑 16G+512G,真的不错太棒了，非常好用真的太棒了满意,河北,j***夏,21683469220,2024-11-01 19:38:52,0
羽砂白 16G+512G典藏版,下次有需要还来真的不错太棒了,河北,j***夏,21683469219,2024-11-01 19:38:52,0
羽砂黑 12G+512G,很好用太棒了满意的一次购物店家服务一流,河北,j***夏,21683469223,2024-11-01 19:38:52,0
幻影紫 12G+512G,下次有需要还来真的不错太棒了很好价格美丽,河北,j***夏,21683469221,2024-11-01 19:38:52,0
羽砂金 12G+512G,给老婆买的真的不错太棒了京东购物值得信赖满意,河北,j***夏,21683469222,2024-11-01 19:38:52,0
青山黛 12G+256G,手机性能都是一点点越来越好的，大屏幕用着舒服，不错，海思芯片加持，网络非常稳定，信号覆盖非常好，比A家好很多！,河北,j***夏,21683456295,2024-11-01 19:36:42,0
羽砂白 16G+512G,全新正品，包装很仔细，没有问题特别特别特别好，没有任何破损的地方，外观也好看，好评！以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！完美，产品很惊艳，性价比合适，希望用的长久！,河北,j***夏,21683456292,2024-11-01 19:36:42,0
青山黛 16G+512G,华为国产品牌做工精良细致，很有范儿，京东包装很完善，到货完好无损，客服更是耐心解答，真是棒棒哒哦,河北,j***夏,21683456296,2024-11-01 19:36:42,0
羽砂白 12G+512G,质感非常好，拍照也很赞！折叠屏用来打游戏，看小说都很棒！折叠起来大小刚好刚好,河北,j***夏,21683456294,2024-11-01 19:36:42,0
羽砂黑 16G+512G典藏版,我深感其卓越的性能和优质的使用体验。其优点主要体现在出色的耐用性和高效的功能性上。无论是外观设计还是实际使用效果，都给我留下了深刻的印象,河北,j***夏,21683456293,2024-11-01 19:36:42,0
羽砂黑 12GB+512GB,发货速度很快手机出厂日期很新,浙江,j***U,21683340472,2024-11-01 19:16:23,0
羽砂黑 12GB+512GB,使用体验不错   很流畅,黑龙江,波***-,21682999949,2024-11-01 18:11:12,0
羽砂黑 12G+256G,服务一流,广东,u***z,21682935568,2024-11-01 18:07:19,0
幻影紫 12G+512G,性价比超高的一款,广东,u***z,21682911638,2024-11-01 18:07:19,0
幻影紫 12G+256G,京东物流的服务态度也是越来越好了，非常满意的一次购物。客服有问必答，非常专业买到了心仪的商品，物美价廉，质量绝佳。物流迅速，商家服务周到，售后无忧。东西不错，还有优惠,广东,u***z,21682935569,2024-11-01 18:07:19,0
